from_station_name,from_station_id
"Paulina St & Montrose Ave",297
"Broadway & Cornelia Ave",303
"Halsted St & Waveland Ave",304
"Leavitt St & Armitage Ave",309
"Sheffield Ave & Wrightwood Ave",302
"Damen Ave & Charleston St",310
"Leavitt St & Hirsch St",315
"Wood St & Taylor St",317
"Southport Ave & Irving Park Rd",318
"Sheridan Rd & Lawrence Ave",323
"Lincoln Ave & Belmont Ave",131
"Clark St & Winnemac Ave",325
"Sheridan Rd & Buena Ave",306
"Southport Ave & Clybourn Ave",307
"Sheffield Ave & Webster Ave",327
"Damen Ave & Sunnyside Ave",316
"Lake Shore Dr & Diversey Pkwy",329
"Seeley Ave & Roscoe St",308
"Lake Shore Dr & Belmont Ave",334
"Clark St & Leland Ave",326
"Ashland Ave & Blackhawk St",333
"Clark St & Chicago Ave",337
"Halsted St & Diversey Pkwy",332
"Halsted St & Blackhawk St",331
"Emerald Ave & 31st St",339
"Lincoln Ave & Belle Plaine Ave",298
"Stockton Dr & Wrightwood Ave",324
"Lake Park Ave & 56th St",345
"Wolcott Ave & Lawrence Ave",344
"Kedzie Ave & Palmer Ct",290
"Ada St & Washington Blvd",346
"Cottage Grove Ave & 47th St",336
"Calumet Ave & 35th St",335
"Racine Ave & Wrightwood Ave",343
